text;label
Other experts were engaged to critically review our Standards of Business Conduct and our preparedness for reporting on due diligence regarding Business and Human Rights. ;human_rights
Our climate strategy underpins our activities designed to support our clients and our firm in preparing for an increasingly carbon-constrained world.;environment
The Code addresses our position on bribery and corruption and, operationally, we have a Global Compliance Risk Framework for Anti-Bribery and Corruption (“Framework”), including policies, standards, training, assurance activities, enabling advice and tools to help manage this risk.;corruption
excludes high-risk industries in combination with countries where human rights are violated in a severe and systematic way, and where no reasonable prospect of imminent improvement can be foreseen.;human_rights
Creating wealth for society by paying taxes in a timely manner, and avoiding tax avoidance schemes.;social_concerns
"Die Arbeitssicherheit entspricht nicht nur den gesetzlichen Pflichten, sondern ist für die SBB
eine Haltungs- und Führungsaufgabe auf sämtlichen Ebenen. Sicheres Arbeiten leistet einen
wertvollen Beitrag, um Ausfalltage und damit Kosten sowie persönliches Leid zu verringern.";employee_concerns
"Continued to distribute our Supplier Code of Conduct which clearly outlines our zero tolerance
for corrupt practices. Launched a project to adapt the Code of Conduct to make it more specific for
shipping, tailoring certain aspects so that they better resonate with our external counterparties.";corruption
"205-3 Bestätigte Korruptionsvorfälle und ergriffene Massnahmen
Keine";corruption
"2020 haben alle Mitarbeitenden der Laufbahnstufe 2 und höher eine Schulung in Legal Compliance absolviert. Das
entspricht rund 70% aller Mitarbeitenden. Es wurden die Grundlagen der städtischen und ewz-intern geltenden rechtlichen Rahmenbedingungen vermittelt. Dazu gehören die Bekämpfung und Vermeidung von Korruption, Bestechung und
Kartellbildung. ";corruption
"Der Verhaltenskodex und die Anti-Korruptionsmassnahmen wurden allen Mitarbeitenden
durch den CEO schriftlich per E-Mail mitgeteilt.
Diese Mitteilung wird periodisch wiederholt.";corruption
"Swiss Life legt im eigenen Betrieb grossen Wert auf hohe Sozialstandards und erwartet von ihren
Geschäftspartnern und Lieferanten, dass sie ebenfalls entsprechende Standards erfüllen. Als
Mitunterzeichnerin des «UN Global Compact» verpflichtet sich Swiss Life unter anderem zur
Berücksichtigung der Menschenrechte.";human_rights
"Swiss Life setzt alles daran, Verstösse gegen rechtliche bzw. regulatorische Vorgaben zu vermeiden,
inklusive der Verhinderung sämtlicher Formen von Korruption und Bestechung. Darum überwacht und beurteilt Compliance das rechtliche sowie das regulatorische Umfeld und setzt auf
Mitarbeiterschulungen und -sensibilisierungen.";corruption
"Human rights violations are
taken extremely seriously by
IIC. By participating in the BSCI,
the auditors have a specific
procedure to follow in case of
the identification of zero tolerance issues.
Should any of these be identified by the auditor, the audit
ceases in essence and the
Zero Tolerance Protocol must
be followed. 
The Zero Tolerance Protocol
replaces the regular audit
processes. It recognises five
main actions that violate human
rights and endanger the
independence of the audit as
illustrated below. ";human_rights
"The Code is further supported by several policies to
specifically combat financial crime such as anti-money
laundering, anti-bribery and corruption. These policies
apply to all employees worldwide, and, together with
the Code, are also extended to business partners
through our purchasing policy. We carry out adverse
media screening to mitigate financial crime risks
and operate a payments filter to ensure compliance
with international sanctions and embargoes. ";corruption
"We aim to conduct our business in an honest, fair and ethical
manner. We take a zero-tolerance approach to bribery and
corruption and we are committed to acting professionally,
fairly and with integrity at all times. ";corruption
"We see it as our responsibility to
assess our own operations with regard to potential human rights
violations. Therefore, we included this element in the survey
initiated in 2019 across all sites.";human_rights
"In line with the potential risk involved, the corruption prevention guidelines are intended
for all management roles and other functional areas that are exposed to this issue";corruption
"As a general rule, the risk of corruption in the postal business is not seen as elevated. The areas regarded as particularly exposed are Procurement and Sales. Employees in both areas have received
thorough training, and the internal auditing department focuses on these areas during its audits.";corruption
"While this can be challenging
given the scope and complexity of the issues and the
breadth of our operations, we believe that respect for
human rights are an absolute and universal requirement
– and one that we are committed to upholding.";human_rights
Our work to reduce carbon footprint during the current reporting cycle has been highly successful.;environment
This achievement forms the foundation for our ongoing ambition to make even greater contributions to the global effort to realize the climate goals enshrined in the Paris Agreement, which is fundamental to limiting global warming.;environment
That is why, despite achieving our climate action target a year ahead of schedule, we pushed to achieve further reductions in greenhouse gas (GHG) emissions in operations.;environment
target for climate action was to reduce its GHG emissions by 40 percent from a baseline.;environment
total GHG emissions (Scope 1 and 2) amounted to kilotons.;environment
To measure our progress, we have re-baselined our target by removing the contribution from our divested Power Grids business to the baseline.;environment
We have also excluded the emissions of the new sites added, for which no baseline data exists.;environment
Our progress to date is mainly attributable to an increased proportion of green electricity and improved methodology for monitoring emissions from our vehicle fleet.;environment
Minimizing our own carbon footprint;environment
committed to respecting and promoting human rights across our value chain;human_rights
we made further advances toward integrating respect for human rights into business processes, as we continued with our programs to raise awareness of human rights and strengthen best practices, while also responding to regulatory requirements and the increased expectations of our stakeholders.;human_rights
commitment to responsible business practices underpins our promise to respect and promote human rights as expressed in the International Bill of Human Rights.;human_rights
Furthermore, we are committed to implementing the United Nations Guiding Principles on Business and Human Rights throughout our operations and along the value chain;human_rights
Respect for people, integrity and transparency is the basis of the behaviors we expect from every individual who works for us as a direct employee or who engages with us as a business partner or through our supply chain.;human_rights
We have also made it clear that there is no place in business or within the operations of our business partners, contractors and suppliers for modern slavery and human trafficking.;human_rights
In supply chains, the main human rights issues of interest include child labor, human trafficking and modern slavery, fair employment conditions, and health and safety.;human_rights
In customer-related business, the main issues include modern slavery, fair employment, impact on communities, and business-specific risks.;human_rights
Across operations, the main issues of interest can include discrimination, fair employment, and health and safety.;employee_concerns
Across operations, the main issues of interest can include discrimination, fair employment, and health and safety.;human_rights
Our primary objective for human rights is for this subject to be well-understood and well-managed in all operations along the value chain and integrated into daily business.;human_rights
The video that emerged hinted at potentially illegal donations to his far-right;corruption
state-owned enterprises receive advantageous treatment by the state.;corruption
They may get discounted funding, government supported guarantees, direct subsidies and favourable regulatory treatment.;corruption
They are also often exempted from antitrust enforcement and insolvency regulations.;corruption
they are directly linked to the governmental budget through guarantees, bailouts, foreign investments and debts.;corruption
But state-owned enterprises are often vulnerable and prone to corruption.;corruption
In addition, governmental support can result in lower production efficiency and poor economic performance.;corruption
This is because the protection they get often insulates them from competition.;corruption
Agency theory stresses that there is always a risk of managers being self-interested and using a company’s resources to enrich themselves.;corruption
Because of this risk, scholars have long assumed that directors need to exercise careful oversight and control over their decisions.;corruption
For over a decade, it paid bribes to government officials and civil servants around the world, amounting to approximately billion.;corruption
While corrupt decision makers profited, citizens in the affected countries paid the costs of overpriced necessities such as roads and power plants.;corruption
While the fund helped build homes and mosques and provided international aid, it also allegedly paid for birthday party and the celebrities that attended it, a million boxing session and motorbikes that very publicly gifted to a nationalist biker gang.;corruption
By setting targets in line with our Purpose, we balance the needs of society, the environment and the economy, leading to a healthier and more prosperous future.;environment
sets its CO2 emission reduction targets in line with the stipulations of the Science Based Targets initiative.;environment
plans to halve its greenhouse gas emissions and reduce them.;environment
To achieve these ambitious targets, it is saving energy, committing to renewable energy and replacing industrial gases which are harmful to the climate.;environment
the remaining emissions will be compensated to achieve climate neutrality.;environment
It will compensate the remaining greenhouse gas emissions originating within the company or needed to generate the energy it requires.;environment
Employee concerns always affect productivity, positively or negatively.;employee_concerns
Occasions when their concerns have no effect are rare and possibly non-existent.;employee_concerns
This is not a psychologically complex reality.;employee_concerns
Most managers have seen tangible effects of personal, if not professional issues affecting employee performance.;employee_concerns
Employees find new boyfriends/girlfriends, get married, receive their college or graduate degrees, or have other wonderful events occur, and their productivity tends to improve.;employee_concerns
Conversely, people face divorce, foreclosure, the loss of a parent, issues with children, or a variety of other personal issues, and their productivity declines, for at least the short term.;employee_concerns
Work-related concerns have an equal – sometimes greater – effect on employee productivity.;employee_concerns
Even the issues of just one staff member often affect the performance of a team or department, once again for better or worse.;employee_concerns
Concerns that are satisfied by management for just one team member can often uplift the performance of the whole group.;employee_concerns
On the down side, should management not address concerns of even one team member, performance of that employee – and possibly the entire team – typically suffers.;employee_concerns
The obvious conclusion: Management should address any concerns that employees have to maintain continuity of performance.;employee_concerns
Certainly, at times, the answers that management must provide are not what the employee wanted.;employee_concerns
Yet, their concerns were addressed and efforts made to resolve these issues.;employee_concerns
Management sometimes maintains that they didn’t address employee concerns because they were unaware that one or more issues existed.;employee_concerns
While this statement may be true, it is imperative that management stay aware of employee concerns so they can address them before small issues become major performance detractors.;employee_concerns
As long as your staff has the security of knowing that they will not be punished or criticized for being truthful about their concerns, they normally will be honest – sometimes brutally honest.;employee_concerns
Simple surveys or requests for suggestions or concerns have proven to be sufficient.;employee_concerns
Higher salaries and compensation.;employee_concerns
Benefits programs.;employee_concerns
Pay increase guidelines.;employee_concerns
Pay equity.;employee_concerns
The Human Resource Department.;employee_concerns
Excessive management.;employee_concerns
Inadequate communication. ;employee_concerns
Over-work.;employee_concerns
Workplace conditions and cleanliness.;employee_concerns
It is important to remember that these items are concerns, not necessarily complaints.;employee_concerns
Senior management in most companies regularly satisfies these and other employee concerns.;employee_concerns
Asking your staff to advise you of their concerns gives management the opportunity to address issues of importance to their employees.;employee_concerns
Studies indicate that addressing employee concerns – regardless of the answers – is the most important activity.;employee_concerns
Management displays their sincerity, their own concern, and their respect for their workforce.;employee_concerns
Making an honest attempt to address employee concerns typically results in improved staff performance.;employee_concerns
Poverty and homelessness are worldwide problems.;social_concerns
According to Habitat for Humanity, one-quarter of the world's population lives in conditions that harm their health and safety.;social_concerns
Many do not have shelter, a basic human need for survival.;social_concerns
This social issue also goes beyond the 25% of the population directly affected.;social_concerns
Because of the lack of shelter for this vulnerable population, there is greater stress on government and social programs, including schools and healthcare systems.;social_concerns
A warmer, changing climate is a threat to the entire world.;environment
A warmer, changing climate is a threat to the entire world.;social_concerns
"Climate change affects the entire world population, and the Union of Concerned Scientists calls this social issue ""one of the most devastating problems humanity has ever faced.""";environment
"Climate change affects the entire world population, and the Union of Concerned Scientists calls this social issue ""one of the most devastating problems humanity has ever faced.""";social_concerns
The 800 million people already living in extreme poverty will be impacted most severely.;social_concerns
Around the world, people are already noticing warmer winters, more severe storms and rainfall events, and more frequent wildfires.;environment
Around the world, people are already noticing warmer winters, more severe storms and rainfall events, and more frequent wildfires.;social_concerns
As the population of the world grows, resources become scarcer.;social_concerns
The fastest growing areas of the world, such as sub-Saharan Africa, often face already scarce resources like land for farming.;social_concerns
As the population becomes more than the country can sustain, people will need to move elsewhere to avoid starvation and homelessness.;social_concerns
People move from one country to another, and in itself, this isn't a social problem.;social_concerns
However, immigration can place stress on government programs and social systems within a country, and it can be a divisive topic in a society.;social_concerns
These immigration-related stresses affect many people.;social_concerns
This is a divisive issue population, with some groups calling for stricter immigration laws.;social_concerns
Although the majority of citizens welcome immigrants, a 2019 poll indicates 23% of people think immigration is the most important social issue facing the country.;social_concerns
Civil rights, or the rights of citizens in a country to have equal treatment socially and politically, is another one of the most significant social issues around the world.;social_concerns
More than 40 years after passed, almost 60% still live in segregated neighborhoods and 90% report that racial discrimination is still a major problem.;social_concerns
A report from the Pew Research Center Fact Tank indicates that about 50% feel the country needs to do more to address the income gap between men and women.;social_concerns
Women still lag behind men in wages and top leadership positions held, although they are now more likely to attain a college degree.;social_concerns
Worldwide, the situation is even more extreme. UNICEF reports that 12 million girls are married before they reach adulthood, and 98 million high school-aged girls do not attend school.;social_concerns
When people are sick or hurt, they need access to medical care to get better.;social_concerns
According to the Centers for Disease Control and Prevention, almost one in 20 citizens do not obtain needed medical care because of the cost.;social_concerns
Worldwide, 97 million people become impoverished by seeking needed medical care, as reported by the World Health Organization (WHO).;social_concerns
Some types of social problems are health-based, but they also have an impact on socio-economic issues.;social_concerns
For instance, the reports that 18.5% children are considered obese, having a body mass index at or above the 95th percentile.;social_concerns
However, the childhood obesity epidemic doesn't affect all children equally.;social_concerns
Children in families where the parents have more education and higher incomes are far less likely to be obese than those in families with less education and lower incomes.;social_concerns
Obesity can also have an impact on another important social issue: bullying.;social_concerns
The PACER National Bullying Prevention Center indicates that obesity and other appearance issues are among the top reasons children report being bullied.;social_concerns
Despite recent anti-bullying initiatives, more than 20% of students report being bullied.;social_concerns
A third of those being bullied report that it happens at least once or twice each month.;social_concerns
Additionally, 24% of middle school students report they have been victims of cyberbullying, or bullying conducted online.;social_concerns
Experience teaches that government officials who oppress, abuse, and tolerate the denial of the human rights of their own people are also responsible for creating social environments that are ripe for both economic and humanitarian crises.;human_rights
The United States is committed to using its voice and position on the world stage to draw attention to these violations and abuses of human rights, and to promote accountability for human rights violators and abusers.;human_rights
The past seven years are on track to be the seven warmest on record, according to the provisional WMO State of the Global Climate 2021 report, based on data for the first nine months of 2021;environment
But this does not negate or reverse the long-term trend of rising temperatures;environment
The report combines input from multiple United Nations agencies, national meteorological and hydrological services and scientific experts;environment
It highlights impacts on food security and population displacement, harming crucial ecosystems and undermining progress towards the Sustainable Development Goals;environment
It was released at a press conference on the opening day of COP26;environment
Global sea level rise accelerated since 2013 to a new high n 2021, with continued ocean warming and ocean acidification;environment
